"","x"
"1",1
"2",1.5886166062466
"3",5.24674000392213
"4",16.2661522856395
"5",19.9395478293295
"6",42.4021179394902
"7",74.2404928304492
"8",71.81951532251
"9",43.87492296283
"10",35.0591760590263
"11",85.4432453206444
"12",165.796801880094
"13",243.185896032393
"14",325.394480877287
"15",778.503259576764
"16",742.989668785955
"17",1497.02860997839
"18",1809.08555441424
"19",2930.62341425736
"20",5898.20674580488
"21",5346.21529754152
"22",3087.26255648284
"23",1666.01788741425
"24",2916.15106414788
"25",2410.80216427072
"26",2129.02558448949
"27",2553.81718035991
"28",4262.38365732548
"29",10791.8173058275
"30",17972.5610623183
"31",11543.2438975398
"32",14155.6769895018
"33",23905.7709941761
"34",36695.4927095013
"35",31884.2620895025
"36",79591.8218235088
"37",108688.438932238
"38",145207.606907925
"39",158893.290946436
"40",90184.6544326187
"41",165267.817310725
"42",256365.194502146
"43",356786.202105117
"44",401436.207541088
"45",503835.89243548
"46",506713.242768522
"47",1385374.95782561
"48",1558883.48866218
"49",2394045.56480399
"50",2366045.46552229
"51",1267349.52886516
"52",377807.574277456
"53",270908.003885648
"54",218857.645943851
"55",147569.143625979
"56",123583.291877592
"57",120493.212141884
"58",102962.007985189
"59",53191.6235616655
"60",34349.9246185088
"61",26670.0379264439
"62",31091.613973806
"63",25261.0590591375
"64",62594.9022241721
"65",159373.600333886
"66",158044.502979717
"67",107235.880253269
"68",90821.9043115296
"69",48271.8519775608
"70",30298.6567874024
"71",22863.6385477617
"72",23900.9655534092
"73",21785.5358333544
"74",11501.27593147
"75",6182.88883367349
"76",2433.57637033265
"77",1398.1340729855
"78",926.422630848827
"79",853.623261663839
"80",483.85346028395
"81",385.169604876049
"82",293.24563027428
"83",466.989478106491
"84",1494.00886471106
"85",973.57478192473
"86",1091.54868273524
"87",1540.45343397355
"88",1695.24563014527
"89",945.108051377824
"90",1545.31237029606
"91",1026.18050639363
"92",595.399034371036
"93",170.195351769005
"94",77.4934961704944
"95",46.8529622520062
"96",44.2010772150978
"97",34.3503989712904
"98",45.735014926851
"99",109.456542141482
"100",321.113489556802
"101",985.468684388885
